seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
14,4,blue,ridge,full_mfcs,1.0,1.7,1.3735148737003955,1.3788319540944514
14,5,blue,ridge,full_ex,1.0,1.48,1.3752871344444704,1.3760889651706216
14,5,blue,ridge,full_1fcs,1.0,1.86,1.3752871344444704,1.3760889651706216
14,5,blue,ridge,full_mfcs,1.0,1.76,1.3752871344444704,1.3760889651706216
15,1,blue,ridge,full_ex,1.0,0.6,0.8433760697343688,0.5403246534387831
15,1,blue,ridge,full_1fcs,1.0,0.78,0.8433760697343688,0.5403246534387831
15,1,blue,ridge,full_mfcs,1.0,0.78,0.8433760697343688,0.5403246534387831
15,2,blue,ridge,full_ex,1.0,0.72,0.5364784097443394,0.2706421481092556
15,2,blue,ridge,full_1fcs,1.0,0.84,0.5364784097443394,0.2706421481092556
15,2,blue,ridge,full_mfcs,1.0,1.2,0.5364784097443394,0.2706421481092556
15,3,blue,ridge,full_ex,0.0,0.72,0.9456525874835628,0.2729577694257175
15,3,blue,ridge,full_1fcs,1.0,1.28,0.9456525874835628,0.2729577694257175
15,3,blue,ridge,full_mfcs,1.0,2.22,0.9456525874835628,0.2729577694257175
15,4,blue,ridge,full_ex,1.0,1.0,0.501999901669317,0.5560385616988643
15,4,blue,ridge,full_1fcs,1.0,1.36,0.501999901669317,0.5560385616988643
15,4,blue,ridge,full_mfcs,1.0,1.78,0.501999901669317,0.5560385616988643
15,5,blue,ridge,full_ex,1.0,1.02,0.7949811952825012,0.6795533435092599
15,5,blue,ridge,full_1fcs,1.0,2.0,0.7949811952825012,0.6795533435092599
15,5,blue,ridge,full_mfcs,1.0,2.18,0.7949811952825012,0.6795533435092599
16,1,blue,ridge,full_ex,1.0,1.44,1.6076463804834609,1.5440408572587392
16,1,blue,ridge,full_1fcs,1.0,2.22,1.6076463804834609,1.5440408572587392
16,1,blue,ridge,full_mfcs,1.0,2.22,1.6076463804834609,1.5440408572587392
16,2,blue,ridge,full_ex,1.0,1.2,1.1252657946987072,1.51370687765611
16,2,blue,ridge,full_1fcs,0.0,0.66,1.1252657946987072,1.51370687765611
16,2,blue,ridge,full_mfcs,1.0,1.86,1.1252657946987072,1.51370687765611
16,3,blue,ridge,full_ex,1.0,1.06,1.6483032822032855,1.4100185350087477
16,3,blue,ridge,full_1fcs,1.0,2.22,1.6483032822032855,1.4100185350087477
16,3,blue,ridge,full_mfcs,1.0,2.22,1.6483032822032855,1.4100185350087477
16,4,blue,ridge,full_ex,1.0,1.12,1.410114452394073,1.4017830155414137
16,4,blue,ridge,full_1fcs,1.0,1.9000000000000001,1.410114452394073,1.4017830155414137
16,4,blue,ridge,full_mfcs,1.0,1.9000000000000001,1.410114452394073,1.4017830155414137
